# JLit コーパス取得マニフェスト
# set        : core=現行64点 / prio1-5=増補候補（優先度）
# author_ja  : 青空文庫の姓名を連結した表記（例 森鴎外）
# title      : 青空文庫の作品名。副題つきの場合は副題まで書いてよい
# aozora_work_id : 分かっていれば書く。空欄なら作者名＋作品名で解決する
# kana_orthography: 新字新仮名 / 新字旧仮名 / 旧字旧仮名。空欄なら新字新仮名を優先
set	id	author_ja	title	aozora_work_id	kana_orthography	note
core	JLIT001	中島敦	光と風と夢	1743	新字新仮名	
core	JLIT002	江戸川乱歩	宇宙怪人	56674	新字新仮名	
core	JLIT003	江戸川乱歩	少年探偵団	56669	新字新仮名	
core	JLIT004	江戸川乱歩	灰色の巨人	56676	新字新仮名	
core	JLIT005	江戸川乱歩	魔法博士	56679	新字新仮名	
core	JLIT006	石川啄木	鳥影	46947	新字旧仮名	
core	JLIT007	坂口安吾	ジロリの女	42827	新字新仮名	
core	JLIT008	坂口安吾	不連続殺人事件	42626	新字新仮名	
core	JLIT009	坂口安吾	二流の人	42919	新字旧仮名	
core	JLIT010	坂口安吾	復員殺人事件	43163	新字新仮名	
core	JLIT011	坂口安吾	金銭無情	42866	新字旧仮名	
core	JLIT012	壺井栄	二十四の瞳	57856	新字新仮名	
core	JLIT013	壺井栄	妻の座	60071	新字新仮名	
core	JLIT014	小林多喜二	不在地主	49181	新字新仮名	
core	JLIT015	小林多喜二	党生活者	833	新字新仮名	
core	JLIT016	小林多喜二	工場細胞	1466	新字新仮名	
core	JLIT017	小林多喜二	蟹工船	1465	新字新仮名	
core	JLIT018	夢野久作	ドグラ・マグラ	2093	新字新仮名	
core	JLIT019	夢野久作	少女地獄	935	新字新仮名	
core	JLIT020	夢野久作	押絵の奇蹟	930	新字新仮名	
core	JLIT021	太宰治	人間失格	301	新字新仮名	
core	JLIT022	太宰治	斜陽	1565	新字新仮名	
core	JLIT023	室生犀星	蜜のあわれ	53503	新字新仮名	
core	JLIT024	宮本百合子	二つの庭	2011	新字新仮名	
core	JLIT025	宮本百合子	伸子	2015	新字新仮名	
core	JLIT026	宮本百合子	播州平野	2013	新字新仮名	
core	JLIT027	宮本百合子	道標	2012	新字新仮名	
core	JLIT028	小栗虫太郎	潜航艇「鷹の城」	43656	新字新仮名	
core	JLIT029	小栗虫太郎	白蟻	666	新字新仮名	
core	JLIT030	小栗虫太郎	黒死館殺人事件	1317	新字新仮名	
core	JLIT031	岡本かの子	仏教人生読本	52342	新字新仮名	
core	JLIT032	岡本かの子	母子叙情	1282	新字新仮名	
core	JLIT033	岡本かの子	生々流転	45641	新字新仮名	
core	JLIT034	徳冨蘆花	小説 不如帰	1706	新字新仮名	
core	JLIT035	林芙美子	放浪記（初出）	45649	新字新仮名	
core	JLIT036	林芙美子	新版 放浪記	1813	新字新仮名	
core	JLIT037	海野十三	地球要塞	3239	新字新仮名	
core	JLIT038	海野十三	怪塔王	3370	新字新仮名	
core	JLIT039	海野十三	海野十三敗戦日記	1255	新字新仮名	
core	JLIT040	海野十三	浮かぶ飛行島	3527	新字新仮名	
core	JLIT041	海野十三	火星兵団	3368	新字新仮名	
core	JLIT042	夏目漱石	こころ	773	新字新仮名	
core	JLIT043	夏目漱石	三四郎	794	新字新仮名	
core	JLIT044	夏目漱石	坊っちゃん	752	新字新仮名	
core	JLIT045	夏目漱石	草枕	776	新字新仮名	
core	JLIT046	福沢諭吉	学問のすすめ	47061	新字新仮名	
