id,file_v1,author_ja,author_reading,author_sex,author_birth,author_death,title_aozora,aozora_person_id,aozora_work_id,aozora_card_url,year_first,year_first_end,year_source,period,ndc,ndc_label,genre_main,genre_sub,form,audience,register_level,narration,first_medium,kana_orthography,completeness,note,tokens,types,ttr_x1000,kanji_ratio,katakana_ratio,bungo_per10k,kogo_per10k,p1_per10k,p3_per10k,gaiji_lost,kana_odoriji,kanji_odoriji,ditto_mark,latin_chars,arabic_digits,style_class
JLIT001,中島敦_光と風と夢.txt,中島敦,なかじま あつし,M,1909,1942,光と風と夢,000119,1743,https://www.aozora.gr.jp/cards/000119/card1743.html,1942,1942,editor,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Historical,novel,general,canonical,mixed,magazine,新字新仮名,complete,初出『文學界』1942年5月。カードに初出欄なし,50346,7266,144.32,0.3514,0.0838,25.2,15.3,91.8,44.5,0,0,196,0,235,0,B_過渡的文体
JLIT002,乱歩_宇宙怪人.txt,江戸川乱歩,えどがわ らんぽ,M,1894,1965,宇宙怪人,001779,56674,https://www.aozora.gr.jp/cards/001779/card56674.html,1953,1953,card,6_昭和戦後(1945-),K913,児童書／日本の小説・物語,Fiction,Juvenile-Mystery,novel,juvenile,popular,third,magazine,新字新仮名,complete,「少年」1953年1〜12月号,53728,3959,73.69,0.138,0.0486,14.0,212.2,13.6,1.1,0,0,36,0,0,0,C_口語体
JLIT003,乱歩_少年探偵団.txt,江戸川乱歩,えどがわ らんぽ,M,1894,1965,少年探偵団,001779,56669,https://www.aozora.gr.jp/cards/001779/card56669.html,1937,1937,card,5_昭和戦前(1926-1944),K913,児童書／日本の小説・物語,Fiction,Juvenile-Mystery,novel,juvenile,popular,third,magazine,新字新仮名,complete,「少年倶楽部」1937年1〜12月号,59938,4946,82.52,0.175,0.024,17.4,227.4,18.7,2.7,0,0,30,0,32,5,C_口語体
JLIT004,乱歩_灰色の巨人.txt,江戸川乱歩,えどがわ らんぽ,M,1894,1965,灰色の巨人,001779,56676,https://www.aozora.gr.jp/cards/001779/card56676.html,1955,1955,card,6_昭和戦後(1945-),K913,児童書／日本の小説・物語,Fiction,Juvenile-Mystery,novel,juvenile,popular,third,magazine,新字新仮名,DUPLICATE,【重大】当該ファイルの本文は『魔法博士』と同一。『灰色の巨人』は未収録。要再取得,46258,3205,69.29,0.1443,0.0415,13.8,216.0,19.9,0.6,0,0,6,0,30,0,C_口語体
JLIT005,乱歩_魔法博士.txt,江戸川乱歩,えどがわ らんぽ,M,1894,1965,魔法博士,001779,56679,https://www.aozora.gr.jp/cards/001779/card56679.html,1956,1956,card,6_昭和戦後(1945-),K913,児童書／日本の小説・物語,Fiction,Juvenile-Mystery,novel,juvenile,popular,third,magazine,新字新仮名,complete,「少年」1956年1〜12月号,46152,3204,69.42,0.1443,0.0414,13.9,216.5,19.9,0.7,0,0,6,0,30,0,C_口語体
JLIT006,啄木_鳥影.txt,石川啄木,いしかわ たくぼく,M,1886,1912,鳥影,000153,46947,https://www.aozora.gr.jp/cards/000153/card46947.html,1908,1908,card,3_明治後期(1900-1911),913,日本文学／小説・物語,Fiction,Naturalist,novel,general,canonical,third,newspaper,新字旧仮名,complete,「東京毎日新聞」1908年11〜12月。旧仮名・仮名踊り字を含む,60529,5985,98.88,0.3676,0.0234,11.9,65.9,43.5,6.8,10,75,147,0,43,0,C_口語体
JLIT007,坂口安吾_JIRORIの女.txt,坂口安吾,さかぐち あんご,M,1906,1955,ジロリの女,001095,42827,https://www.aozora.gr.jp/cards/001095/card42827.html,1948,1948,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novella,general,canonical,first,magazine,新字新仮名,complete,ファイル名の 'JIRORI' はローマ字化。正題は「ジロリの女」,31495,4433,140.75,0.2396,0.0587,23.5,138.8,218.1,6.4,0,0,74,0,1,0,C_口語体
JLIT008,坂口安吾_不連続殺人.txt,坂口安吾,さかぐち あんご,M,1906,1955,不連続殺人事件,001095,42626,https://www.aozora.gr.jp/cards/001095/card42626.html,1947,1948,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Detective,novel,general,middlebrow,first,magazine,新字新仮名,complete,「日本小説」1947年8月〜1948年8月,99434,8859,89.09,0.2728,0.0516,22.8,161.9,67.9,11.0,0,0,316,0,55,1,C_口語体
JLIT009,坂口安吾_二流の人.txt,坂口安吾,さかぐち あんご,M,1906,1955,二流の人,001095,42919,https://www.aozora.gr.jp/cards/001095/card42919.html,1947,1947,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Historical,novella,general,canonical,third,book,新字旧仮名,complete,カード記載は九州書房版1947年。雑誌初出（1941「文體」）説あり。v1 の1944は典拠不明,35975,5817,161.7,0.3936,0.0145,27.0,12.2,29.7,34.2,0,0,106,0,0,0,B_過渡的文体
JLIT010,坂口安吾_復員殺人.txt,坂口安吾,さかぐち あんご,M,1906,1955,復員殺人事件,001095,43163,https://www.aozora.gr.jp/cards/001095/card43163.html,1949,1950,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Detective,novel,general,middlebrow,first,magazine,新字新仮名,incomplete,「座談」1949〜1950年、未完,60197,6077,100.95,0.2695,0.053,28.7,179.2,45.8,18.4,1,0,111,0,0,0,C_口語体
JLIT011,坂口安吾_金銭無情.txt,坂口安吾,さかぐち あんご,M,1906,1955,金銭無情,001095,42866,https://www.aozora.gr.jp/cards/001095/card42866.html,1947,1947,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,cycle,general,canonical,third,magazine,新字旧仮名,complete,「金銭無情」「失恋難」「夜の王様」「王様失脚」4篇の連作。v1 の 'Experimental?' を改める,49097,6146,125.18,0.255,0.0705,29.5,67.4,51.1,22.4,0,1,79,0,8,0,C_口語体
JLIT012,壷井栄_二十四の瞳.txt,壺井栄,つぼい さかえ,F,1899,1967,二十四の瞳,001875,57856,https://www.aozora.gr.jp/cards/001875/card57856.html,1952,1952,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,middlebrow,third,magazine,新字新仮名,complete,ファイル名の「壷」は正字「壺」,67800,6455,95.21,0.1826,0.022,19.6,76.8,14.0,17.3,0,0,21,0,4,0,C_口語体
JLIT013,壷井栄_妻の座.txt,壺井栄,つぼい さかえ,F,1899,1967,妻の座,001875,60071,https://www.aozora.gr.jp/cards/001875/card60071.html,1947,1949,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,middlebrow,third,magazine,新字新仮名,complete,「新日本文学」1947年8月、1949年2〜4月・7月,51377,5523,107.5,0.2232,0.024,21.2,69.1,39.9,11.1,0,0,51,0,2,0,C_口語体
JLIT014,多喜二_不在地主.txt,小林多喜二,こばやし たきじ,M,1903,1933,不在地主,000156,49181,https://www.aozora.gr.jp/cards/000156/card49181.html,1929,1929,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Proletarian,novella,general,canonical,third,magazine,新字新仮名,complete,「中央公論」1929年11月号ほか。外字欠落27件,44523,5180,116.34,0.2934,0.037,22.7,29.9,28.1,1.3,27,0,115,1,56,0,C_口語体
