id,file_v1,author_ja,author_reading,author_sex,author_birth,author_death,title_aozora,aozora_person_id,aozora_work_id,aozora_card_url,year_first,year_first_end,year_source,period,period5,ndc,ndc_label,genre_main,genre_sub,form,audience,register_level,narration,first_medium,kana_orthography,completeness,note,tokens,types,ttr_x1000,kanji_ratio,katakana_ratio,bungo_per10k,kogo_per10k,p1_per10k,p3_per10k,gaiji_lost,kana_odoriji,kanji_odoriji,ditto_mark,latin_chars,arabic_digits,style_class,set,source_meta,measure_source,bungo_ratio,ndc_all,shoshutsu,needs_review
JLIT001,中島敦_光と風と夢.txt,中島敦,なかじま あつし,M,1909,1942,光と風と夢,000119,1743,https://www.aozora.gr.jp/cards/000119/card1743.html,1942,1942,editor,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Historical,novel,general,canonical,mixed,magazine,新字新仮名,complete,初出『文學界』1942年5月。カードに初出欄なし,45273,6915,152.74,0.3875,0.0886,29.4,136.9,103.2,69.1,0,0,190,0,238,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.177,,,
JLIT002,乱歩_宇宙怪人.txt,江戸川乱歩,えどがわ らんぽ,M,1894,1965,宇宙怪人,001779,56674,https://www.aozora.gr.jp/cards/001779/card56674.html,1953,1953,card,6_昭和戦後(1945-),6_昭和戦後(1945-),K913,児童書／日本の小説・物語,Fiction,Juvenile-Mystery,novel,juvenile,popular,third,magazine,新字新仮名,complete,「少年」1953年1〜12月号,45689,3664,80.19,0.1561,0.0546,17.1,510.6,15.8,1.3,0,0,36,0,0,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.032,,「少年」光文社、1953（昭和28）年1月号～12月号,
JLIT003,乱歩_少年探偵団.txt,江戸川乱歩,えどがわ らんぽ,M,1894,1965,少年探偵団,001779,56669,https://www.aozora.gr.jp/cards/001779/card56669.html,1937,1937,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),K913,児童書／日本の小説・物語,Fiction,Juvenile-Mystery,novel,juvenile,popular,third,magazine,新字新仮名,complete,「少年倶楽部」1937年1〜12月号,53330,4570,85.69,0.1927,0.0263,18.8,469.7,21.9,3.8,0,0,30,0,32,5,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.038,,「少年倶楽部」大日本雄辯會講談社、1937（昭和12）年1月号～12月号,
JLIT004,乱歩_灰色の巨人.txt,江戸川乱歩,えどがわ らんぽ,M,1894,1965,灰色の巨人,001779,56676,https://www.aozora.gr.jp/cards/001779/card56676.html,1955,1955,card,6_昭和戦後(1945-),6_昭和戦後(1945-),K913,児童書／日本の小説・物語,Fiction,Juvenile-Mystery,novel,juvenile,popular,third,magazine,新字新仮名,complete,「少年クラブ」大日本雄辯會講談社、1955（昭和30）年1〜12月号。底本『灰色の巨人／魔法博士』（江戸川乱歩推理文庫、講談社、1988） ／ v1 の 乱歩_灰色の巨人.txt は『魔法博士』の本文が入っていたが，増補でカード 56676 から取り直したので解消。全29章（「志摩の女王」〜「怪人のさいご」），56679『魔法博士』との文字12-gram 一致率 0.0009 で別作品であることを確認,39595,3356,84.76,0.1605,0.0492,17.9,523.6,14.4,3.5,0,0,1,0,0,0,C_口語体,core,aozora_card+editorial,rebuilt:tokens_surface,0.033,,「少年クラブ」大日本雄辯會講談社、1955（昭和30）年1月号～12月号,
JLIT005,乱歩_魔法博士.txt,江戸川乱歩,えどがわ らんぽ,M,1894,1965,魔法博士,001779,56679,https://www.aozora.gr.jp/cards/001779/card56679.html,1956,1956,card,6_昭和戦後(1945-),6_昭和戦後(1945-),K913,児童書／日本の小説・物語,Fiction,Juvenile-Mystery,novel,juvenile,popular,third,magazine,新字新仮名,complete,「少年」1956年1〜12月号,39229,2978,75.91,0.1631,0.0464,16.6,516.2,23.5,0.8,0,0,6,0,30,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.031,,「少年」1956（昭和31）年1月号～12月号,
JLIT006,啄木_鳥影.txt,石川啄木,いしかわ たくぼく,M,1886,1912,鳥影,000153,46947,https://www.aozora.gr.jp/cards/000153/card46947.html,1908,1908,card,3_明治後期(1900-1911),3_明治後期(1900-1911),913,日本文学／小説・物語,Fiction,Naturalist,novel,general,canonical,third,newspaper,新字旧仮名,complete,「東京毎日新聞」1908年11〜12月。旧仮名・仮名踊り字を含む,52704,5525,104.83,0.417,0.0266,13.7,104.9,50.9,7.8,0,0,133,0,43,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.116,,「東京毎日新聞」1908（明治41）年11月1日～11月31日、12月2日～12月30日,
JLIT007,坂口安吾_JIRORIの女.txt,坂口安吾,さかぐち あんご,M,1906,1955,ジロリの女,001095,42827,https://www.aozora.gr.jp/cards/001095/card42827.html,1948,1948,card,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novella,general,canonical,first,magazine,新字新仮名,complete,ファイル名の 'JIRORI' はローマ字化。正題は「ジロリの女」,28515,4186,146.8,0.2617,0.064,28.1,317.4,246.5,8.8,0,0,72,0,1,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.081,,前半「文藝春秋　第二六巻第四号」1948（昭和23）年4月1日、後半「別冊文藝春秋　第六輯」1948（昭和23）年4月1日,
JLIT008,坂口安吾_不連続殺人.txt,坂口安吾,さかぐち あんご,M,1906,1955,不連続殺人事件,001095,42626,https://www.aozora.gr.jp/cards/001095/card42626.html,1947,1948,card,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Detective,novel,general,middlebrow,first,magazine,新字新仮名,complete,「日本小説」1947年8月〜1948年8月,89807,8285,92.25,0.2987,0.0562,27.1,324.3,87.3,13.3,0,0,316,0,55,1,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.077,,「日本小説　第一巻第三号～第二巻第七号」1947（昭和22）年8月1日～1948（昭和23）年8月1日,
JLIT009,坂口安吾_二流の人.txt,坂口安吾,さかぐち あんご,M,1906,1955,二流の人,001095,42919,https://www.aozora.gr.jp/cards/001095/card42919.html,1947,1947,card,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Historical,novella,general,canonical,third,book,新字旧仮名,complete,カード記載は九州書房版1947年。雑誌初出（1941「文體」）説あり。v1 の1944は典拠不明,33469,5571,166.45,0.4219,0.0155,30.2,57.4,34.1,42.4,0,0,99,0,0,0,B_過渡的文体,core,aozora_card,rebuilt:tokens_surface,0.345,,「二流の人」中篇小説新書、九州書房、1947（昭和22）年1月30日,
JLIT010,坂口安吾_復員殺人.txt,坂口安吾,さかぐち あんご,M,1906,1955,復員殺人事件,001095,43163,https://www.aozora.gr.jp/cards/001095/card43163.html,1949,1950,card,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Detective,novel,general,middlebrow,first,magazine,新字新仮名,incomplete,「座談」1949〜1950年、未完,53894,5633,104.52,0.2976,0.0583,32.7,393.0,57.0,24.7,0,0,110,0,0,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.077,,「座談　第三巻第六号～第七号、第四巻第一号～第三号」1949（昭和24）年8月1日～9月1日、1950（昭和25）年1月1日～3月1日（未完）,
