file,tokens,types,ttr_x1000,mean_sent_tokens,kanji_ratio,kata_ratio,bungo_per10k,kogo_per10k,p1_per10k,p3_per10k,gaiji_marker,kana_odoriji,kanji_odoriji,ditto_mark,latin_chars,arabic_digits
中島敦_光と風と夢.txt,50346,7266,144.32,19.54,0.3514,0.0838,25.2,15.3,91.8,44.5,0,0,196,0,235,0
乱歩_宇宙怪人.txt,53728,3959,73.69,19.43,0.138,0.0486,14.0,212.2,13.6,1.1,0,0,36,0,0,0
乱歩_少年探偵団.txt,59938,4946,82.52,20.94,0.175,0.024,17.4,227.4,18.7,2.7,0,0,30,0,32,5
乱歩_灰色の巨人.txt,46258,3205,69.29,17.64,0.1443,0.0415,13.8,216.0,19.9,0.6,0,0,6,0,30,0
乱歩_魔法博士.txt,46152,3204,69.42,17.6,0.1443,0.0414,13.9,216.5,19.9,0.7,0,0,6,0,30,0
啄木_鳥影.txt,60529,5985,98.88,17.38,0.3676,0.0234,11.9,65.9,43.5,6.8,10,75,147,0,43,0
坂口安吾_JIRORIの女.txt,31495,4433,140.75,21.5,0.2396,0.0587,23.5,138.8,218.1,6.4,0,0,74,0,1,0
坂口安吾_不連続殺人.txt,99434,8859,89.09,19.19,0.2728,0.0516,22.8,161.9,67.9,11.0,0,0,316,0,55,1
坂口安吾_二流の人.txt,35975,5817,161.7,26.85,0.3936,0.0145,27.0,12.2,29.7,34.2,0,0,106,0,0,0
坂口安吾_復員殺人.txt,60197,6077,100.95,15.96,0.2695,0.053,28.7,179.2,45.8,18.4,1,0,111,0,0,0
坂口安吾_金銭無情.txt,49097,6146,125.18,22.3,0.255,0.0705,29.5,67.4,51.1,22.4,0,1,79,0,8,0
壷井栄_二十四の瞳.txt,67800,6455,95.21,36.28,0.1826,0.022,19.6,76.8,14.0,17.3,0,0,21,0,4,0
壷井栄_妻の座.txt,51377,5523,107.5,76.68,0.2232,0.024,21.2,69.1,39.9,11.1,0,0,51,0,2,0
多喜二_不在地主.txt,44523,5180,116.34,15.9,0.2934,0.037,22.7,29.9,28.1,1.3,27,0,115,1,56,0
多喜二_党生活者.txt,42073,4181,99.37,24.0,0.2878,0.0326,20.9,35.9,144.7,26.1,0,0,113,0,47,0
多喜二_工場細胞.txt,40424,4783,118.32,16.02,0.2863,0.0514,16.1,51.0,32.2,50.0,1,23,101,0,174,13
多喜二_蟹工船.txt,40323,4774,118.39,17.72,0.2721,0.0544,29.8,42.4,31.2,6.7,0,0,87,0,20,11
夢野久作_DOGRA.txt,266811,17246,64.64,20.6,0.3454,0.045,41.9,85.4,61.8,3.6,2,0,634,0,328,2
夢野久作_少女地獄.txt,64806,7109,109.7,18.83,0.3192,0.0492,34.9,156.8,108.3,39.2,0,0,80,0,24,0
夢野久作_押絵の奇蹟.txt,36269,4365,120.35,32.38,0.2746,0.0227,86.6,175.6,129.0,0.3,0,0,63,0,0,0
太宰_人間失格.txt,44964,5408,120.27,26.61,0.2553,0.0266,30.9,91.9,181.5,5.1,0,0,25,0,10,0
太宰_斜陽.txt,55108,5445,98.81,19.62,0.2207,0.021,24.1,124.7,168.4,0.7,0,0,33,0,45,0
室生犀星_蜜のあわれ.txt,48730,4506,92.47,26.11,0.1754,0.0063,14.4,133.4,32.0,3.1,1,0,32,0,0,0
宮本百合子_二つの庭.txt,119603,9689,81.01,39.58,0.2484,0.022,13.0,60.1,52.0,4.1,0,0,217,0,65,4
宮本百合子_伸子.txt,148254,11438,77.15,34.81,0.2822,0.0139,18.2,66.5,77.4,68.3,1,0,358,0,185,8
