person_id,work_id,author_ja,title,narration,register_level,audience,form,genre_main,genre_sub,author_sex,completeness,first_medium,year_first,year_source,year_first_end,note,editorial_note
000158,001504,島崎藤村,夜明け前,third,canonical,general,novel,Fiction,Historical,M,complete,,,,,第一部上〜第二部下の4カード（001504〜001507）を結合した1ファイル,分冊をまとめた後の作品行。作品単位の分析はこの行を使う。巻別の XML は data/xml/_volumes/ にある
000158,001505,島崎藤村,夜明け前,third,canonical,general,novel,Fiction,Historical,M,merged,,,,,第一部下。本文は 000158_001504 に統合済み,03b_merge_volumes.py で結合。この行は書誌のみで本文を持たない
000158,001506,島崎藤村,夜明け前,third,canonical,general,novel,Fiction,Historical,M,merged,,,,,第二部上。本文は 000158_001504 に統合済み,03b_merge_volumes.py で結合。この行は書誌のみで本文を持たない
000158,001507,島崎藤村,夜明け前,third,canonical,general,novel,Fiction,Historical,M,merged,,,,,第二部下。本文は 000158_001504 に統合済み,03b_merge_volumes.py で結合。この行は書誌のみで本文を持たない
000158,001509,島崎藤村,家,third,canonical,general,novel,Fiction,Naturalist,M,complete,,,,,上巻（001509）・下巻（001510）を結合した1ファイル,分冊をまとめた後の作品行。作品単位の分析はこの行を使う。巻別の XML は data/xml/_volumes/ にある
000005,000005,ツルゲーネフ イワン,あいびき,first,canonical,general,short-story,Fiction,Translation,M,complete,magazine,,editor,1888,,二葉亭四迷訳。『猟人日記』の一人称。訳文が言文一致の実験 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 「国民之友」1888（明治21）年。二葉亭四迷訳
000006,001869,二葉亭四迷,浮雲,third,canonical,general,novel,Fiction,Modern,M,incomplete,book,,editor,1889,,未完。言文一致体小説の出発点 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 第一篇1887・第二篇1888は金港堂の単行本。第三篇のみ「都の花」
000091,000522,尾崎紅葉,金色夜叉,third,canonical,general,novel,Fiction,Melodrama,M,incomplete,,,,,,未完。読売新聞連載
000843,042349,山田美妙,武蔵野,third,canonical,general,short-story,Fiction,Historical,M,complete,,,,,,「です・ます」体による言文一致の別系統
000051,050351,幸田露伴,五重塔,third,canonical,general,novella,Fiction,Modern,M,complete,,,,,,雅俗折衷体。会話符を使わないので会話文比率は欠測
000280,046536,徳冨蘆花,良夜,first,canonical,general,essay,Nonfiction,Sketch-Essay,M,too_short,book,,editor,1900,,"『自然と人生』所収の写生文 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 『自然と人生』（民友社, 1900）所収。篇ごとの新聞初出は未確認 ／ 短すぎるため分析から除外: 651字・418語。--chunk 2000 の1チャンクにも満たないのでチャンク単位の分析に乗らない。底本『日本の名随筆58 月』は詞華集で，青空文庫にあるのはこの1篇のみ。蘆花は『みみずのたはこと』『不如帰』で代表される"
000280,046537,徳冨蘆花,花月の夜,first,canonical,general,essay,Nonfiction,Sketch-Essay,M,too_short,book,,editor,1900,,同上。264字と極端に短く作品単位の統計には使えない ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 同上 ／ 短すぎるため分析から除外: 259字・163語。同上。コーパス中で最短
000129,058126,森鴎外,舞姫,first,canonical,general,short-story,Fiction,Modern,M,complete,,,,,,雅文体の一人称回想
000305,046534,正岡子規,歌よみに与ふる書,first,canonical,general,treatise,Nonfiction,Criticism,M,complete,,,,,,書簡体の歌論。一人称で論を立てる
000296,047054,福沢諭吉,学者安心論,none,canonical,general,treatise,Nonfiction,Enlightenment-Didactic,M,complete,,,,,,明治9年の論説。非物語
000296,045664,福沢諭吉,旧藩情,none,canonical,general,treatise,Nonfiction,Historical-Essay,M,complete,book,,editor,1877,,明治10年の論説。廃藩置県後の士族社会 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 明治10年の私家版
000885,003325,与謝野晶子,「女らしさ」とは何か,first,canonical,general,essay,Nonfiction,Criticism,F,complete,,,,,,大正期女性評論
000885,003319,与謝野晶子,私の貞操観,first,canonical,general,essay,Nonfiction,Criticism,F,complete,,,,,,同上
000416,003577,伊藤野枝,ある男の堕落,third,canonical,general,short-story,Fiction,Modern,F,complete,,,,,,『青鞜』系の女性作家
000416,056232,伊藤野枝,新らしき女の道,first,canonical,general,essay,Nonfiction,Criticism,F,too_short,,,,,,"1,207字と短い評論 ／ 短すぎるため分析から除外: 1,207字・743語。同上。伊藤野枝は『ある男の堕落』(003577) で残る"
000064,056041,樋口一葉,たけくらべ,third,canonical,general,novella,Fiction,Modern,F,complete,,,,,,雅俗折衷体。会話符を使わないので会話文比率は欠測
000064,056042,樋口一葉,にごりえ,third,canonical,general,novella,Fiction,Modern,F,complete,,,,,,同上
000064,000386,樋口一葉,十三夜,third,canonical,general,short-story,Fiction,Modern,F,complete,,,,,,同上。会話文比率は partial
000112,000601,水野仙子,四十余日,first,middlebrow,general,short-story,Fiction,Modern,F,complete,magazine,1910,editor,1910,,花袋門下・『青鞜』同人。自伝的 ／ 初出は「趣味」1910（明治43）年5月。底本が『明治文學全集82 明治女流文學集（二）』であることとも整合する。増補候補表の 1913 は誤りだったので訂正
000112,004263,水野仙子,脱殻,third,middlebrow,general,short-story,Fiction,Modern,F,complete,,,,,,同上
000655,005006,田村俊子,木乃伊の口紅,third,canonical,general,novella,Fiction,Modern,F,complete,,,,,,旧字旧仮名。正書法の統制に注意
000235,002259,上田敏,海潮音,none,canonical,general,collection,Nonfiction,Translation-Verse,M,complete,book,,editor,1905,,"訳詩集。韻文なので散文の文体指標は適用外 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 本郷書院, 1905。個々の訳詩は「明星」等に既出"
000157,043443,北村透谷,内部生命論,none,canonical,general,treatise,Nonfiction,Criticism,M,complete,,,,,,明治期批評文
000042,001684,寺田寅彦,柿の種,first,canonical,general,collection,Nonfiction,Science-Essay,M,complete,book,,editor,1933,,"科学随筆の断章集 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 小山書店, 1933。断章は「渋柿」に連載"
000082,001312,岡本綺堂,修禅寺物語,dialogue,canonical,general,play,Fiction,Drama,M,complete,,,,,,戯曲。会話は話者名と字下げで示すので会話文比率は欠測
001154,052082,岸田国士,紙風船（一幕）,dialogue,canonical,general,play,Fiction,Drama,M,complete,,,,,,大正期の口語戯曲。一幕物
001566,052504,柳田国男,遠野物語,third,documentary,general,collection,Nonfiction,Ethnography,M,complete,book,,,1910,,"民俗誌。119話の集成。文語の記述 ／ 初出媒体は編者の判断（青空文庫の索引に初出欄なし）: 私家版, 1910年6月14日"
